,text,label,label_text
29,aku merasa sangat takut setiap kali harus membuat keputusan besar dalam hidup,3,fear
30,marah banget karena keinginan ini seperti tidak pernah bisa dicapai meskipun udah dekat,1,anger
31,tibatiba mendapatkan tawaran pekerjaan yang tidak pernah aku duga,6,surprise
32,rasa kaget ini muncul ketika mengetahui bahwa temanku pergi ke luar negeri tanpa bilang,6,surprise
33,aku terkejut ketika tahu bahwa seseorang yang aku anggap teman ternyata tidak tulus,6,surprise
34,kadang hidup ini memberikan kejutan yang bikin aku merenung dalamdalam,6,surprise
35,rasa takut ini membuatku merasa seperti semua hal yang baik akan hilang,3,fear
36,marah banget karena hidup ini selalu memberi tantangan yang lebih dari kemampuanku,1,anger
37,lihat orang buang air kecil sembarangan,2,disgust
38,aku yakin kita akan menemukan jalan terbaik untuk hubungan ini,7,trust
39,kehilangan sesuatu yang selalu ada di hidupmu itu bikin hidup terasa kosong,5,sadness
40,gak nyangka bisa memutuskan untuk berhenti dari hubungan yang sudah tidak sehat,6,surprise
41,marah banget karena barang yang aku beli tidak sesuai deskripsi di website,1,anger
42,rasanya ingin cepat lihat hasil dari usaha yang aku lakukan,0,anticipation
43,gugup banget nunggu event cosplay besar minggu depan,0,anticipation
44,rasa takut ini seperti bayangan yang terus mengikuti ke mana pun aku pergi,3,fear
45,semoga kabar baik datang hari ini nunggu promosi bikin gugup,0,anticipation
46,aku tidak paham kenapa ada orang yang bisa tidur di tempat yang super kotor,2,disgust
47,aku yakin kita akan mencapai semua impian kita karena saling percaya,7,trust
48,lingkungan yang penuh dengan sampah membuatku merasa sangat jijik,2,disgust
49,aku merasa takut setiap kali harus menghadapi halhal yang tidak aku ketahui,3,fear
50,tibatiba merasa sedih ketika harapan untuk mendapatkan pekerjaan yang lebih baik harus pupus,6,surprise
51,kesel banget lihat orang yang tidak peduli sama kesulitan orang lain,1,anger
52,takut kalau ternyata aku tidak cukup baik buat orangorang di sekitarku,3,fear
53,aku merasa sangat bahagia bisa menyelesaikan proyek yang aku kerjakan dengan baik,4,joy
54,kaget ketika tahu bahwa perlakuan orang bisa berbalik secepat ini,6,surprise
55,tidak ada yang bisa menggantikan rasa percaya ini aku yakin sepenuhnya padamu,7,trust
56,rasanya bahagia bisa makan makanan manis setelah sekian lama menahan diri,4,joy
57,marah banget karena dunia ini seolaholah tidak peduli dengan keadilan dan kebenaran,1,anger
58,marah banget karena alur cerita bukunya lambat dan ngebosenin,1,anger
59,takut kalau nanti aku nyesel karena tidak berani ambil kesempatan yang ada,3,fear
60,aku percaya kamu akan selalu ada saat aku membutuhkanmu,7,trust
61,kerja keras tiap hari tapi uang tetap aja gak cukup buat kebutuhan seharihari,5,sadness
62,pikiranku terus ke dia rasanya ingin cepat ngelewatin waktu ini bareng,0,anticipation
63,aku takut bahwa aku akan kecewa dengan semua yang terjadi,3,fear
64,aku percaya bahwa kita bisa saling mendukung dalam setiap langkah,7,trust
65,kesel maksimal biaya hidup makin tinggi tapi gaji tidak naiknaik,1,anger
66,rasanya ingin segera mulai ibadah yang khusus di hari suci nanti,0,anticipation
67,gugup tiap kali mikirin betapa spesialnya hari suci yang akan datang,0,anticipation
68,marah banget karena buku ini tidak ada penyelesaian untuk semua konflik yang dibangun,1,anger
69,berhasil menyelesaikan laporan kerja bikin hatiku tenang dan bahagia,4,joy
70,aku percaya kita akan terus bersatu meski ada rintangan,7,trust
71,kaget melihat bagaimana orang yang aku percayai tibatiba bersikap dingin,6,surprise
72,aku takut kalau aku tidak akan pernah bisa menemukan jalan yang benar dalam hidupku,3,fear
73,aku bahagia karena bisa merasakan kehangatan dari sinar matahari pagi,4,joy
74,kepercayaan ini adalah dasar dari setiap impian yang kita bangun bersama,7,trust
75,sulit untuk melupakan semua kenangan dari hubungan yang dulu pernah indah,5,sadness
76,kepercayaan adalah pondasi yang membuat hubungan ini tetap kokoh,7,trust
77,rasa takut ini begitu kuat hingga aku merasa tidak punya kendali atas apa pun,3,fear
78,rasa takut ini seperti rantai yang mengikat aku pada ketidakpastian,3,fear
79,sulit menerima kenyataan kalau ketidakadilan terus terjadi tanpa ada yang peduli,5,sadness
80,kehilangan sesuatu yang udah jadi bagian hidup itu benarbenar menghancurkan,5,sadness
81,aku takut tidak akan pernah bisa keluar dari rasa takut ini,3,fear
82,kepergian ibu meninggalkan kesedihan yang mendalam,5,sadness
83,rasanya setiap menit bikin aku makin gugup karena semakin dekat waktunya,0,anticipation
84,bahagia itu adalah ketika bisa menemukan kedamaian di tengah kesibukan,4,joy
85,rasa takut ini begitu besar hingga membuatku merasa tidak ada yang bisa membantu aku,3,fear
86,ketika mendengar kabar bahwa hidupku akan segera berubah dan itu bikin aku kaget,6,surprise
87,rasanya bahagia banget bisa menyelesaikan tugas yang sempat tertunda di kantor,4,joy
88,jijik lihat orang yang tidak sikat gigi tapi langsung makan,2,disgust
89,kadang ingin nyerah aja setelah kegagalan yang terusterusan,5,sadness
90,rasa kaget ini muncul ketika melihat semua harapan untuk membuat perubahan tidak terwujud,6,surprise
91,aku percaya kamu akan selalu membimbingku dengan cara yang baik,7,trust
92,setiap pengalaman yang kita lalui bersama menambah kepercayaan ini semakin dalam,7,trust
93,aku merasa sangat takut untuk menghadapi kenyataan yang tidak aku inginkan,3,fear
94,takut dikecewain lagi makanya jadi ragu buat percaya,3,fear
95,ngitung hari terus karena tidak sabar lihat bagaimana perubahan ini berjalan,0,anticipation
96,tidak habis pikir kenapa keinginan ini selalu jauh dari genggaman padahal aku sudah berusaha,1,anger
97,bahagia itu ketika bisa menikmati makanan favorit setelah lama menantikannya,4,joy
98,aku yakin kamu akan selalu memberi yang terbaik dalam hubungan ini,7,trust
99,tidak habis pikir kenapa barang yang aku beli cepat banget rusak,1,anger
100,gak ada yang lebih menyakitkan dari kegagalan yang terus berulang,5,sadness
101,serius  kenapa orang suka buang sampah sembarangan di bioskop,2,disgust
102,aku takut kalau semua orang akan meninggalkan aku karena aku tidak cukup baik,3,fear
103,gak percaya ketika melihat diriku sekarang dan semua yang sudah aku capai,6,surprise
104,tidak sabar buat memulai hidup baru dengan perubahan besar ini,0,anticipation
105,aku merasa jijik banget lihat orang buang sampah dari jendela mobil,2,disgust
106,rasanya seperti tidak ada hari tanpa perasaan takut yang terus muncul,3,fear
107,rasanya tidak sabar buat menyambut kabar besar yang akan datang,0,anticipation
108,ingin cepat sampai ke hari yang penuh makna bagi kami berdua,0,anticipation
109,tidak sabar buat presentasi di depan tim besok semoga lancar,0,anticipation
110,udah tidak sabar menanti rilis film favorit bulan depan,0,anticipation
111,kesel maksimal kenapa dunia ini begitu kejam sama orangorang yang tidak bersalah,1,anger
112,jijik lihat orang meludah sembarangan di tempat umum,2,disgust
113,aku takut semua ini akan berakhir buruk dan aku tidak tahu harus bagaimana,3,fear
114,kesel maksimal karena hidup selalu membuatku merasa sendirian dalam menghadapi semuanya,1,anger
115,setiap kata yang kamu ucapkan selalu membangkitkan semangatku,7,trust
116,aku merasa sangat jijik lihat serangga di kamar mandi umum tidak bisa tahan lama di sana,2,disgust
117,tibatiba dapat perlakuan dingin dari orang yang biasanya hangat itu bikin kaget,6,surprise
118,kenapa ya ada orang yang tidak peduli sama kebersihan rumahnya,2,disgust
119,sebenarnya mau maju tapi rasa takut gagal selalu bikin mundur lagi,3,fear
120,aku takut membuat keputusan yang salah dan menyesalinya selamanya,3,fear
121,gak tau harus bagaimana lagi semuanya serba mahal tapi pendapatan segitugitu aja,5,sadness
122,gak percaya ketika aku tahu bahwa seseorang yang aku cintai memperjuangkan kebahagiaanku,6,surprise
123,aku merasa sangat bahagia karena tugas yang aku kerjakan mendapat feedback positif,4,joy
124,bau mulut orang pas lagi bicara deket banget,2,disgust
125,hari ini berhasil menyelesaikan semua pekerjaan dengan baik rasanya bahagia banget,4,joy
126,aku merasa takut setiap kali memikirkan apa yang akan terjadi ke depannya,3,fear
127,gak percaya ketika tibatiba ada konser di dekat rumahku dan aku tidak tahu,6,surprise
128,rasanya bahagia bisa makan makanan sehat yang bikin tubuh terasa segar,4,joy
129,kadang takut mimpi terlalu tinggi takut kalau nanti tidak bisa mencapainya,3,fear
130,gak ada yang bisa bikin aku merasa lebih baik,5,sadness
131,aku percaya bahwa kita akan menemukan cara terbaik untuk menyelesaikan setiap masalah,7,trust
132,gak nyangka bahwa reformasi yang dijanjikan hanya retorika belaka,6,surprise
133,sering takut buat mengambil risiko karena takut hasilnya tidak sesuai harapan,3,fear
134,aku merasa takut setiap kali harus membuat keputusan penting,3,fear
135,ingin cepat tahu hasil lukisan yang aku buat minggu ini,0,anticipation
136,takut banget kalau ternyata aku salah ambil keputusan dan tidak bisa memperbaikinya,3,fear
137,rasanya ingin tahu sekarang juga apakah aku bisa mencapai impian ini,0,anticipation
138,rasa takut bikin aku sering nunda hal penting yang seharusnya bisa diselesaikan sekarang,3,fear
139,nginjek pecahan kaca di pantai,2,disgust
140,marah banget karena kamu selalu bikin aku ngerasa tidak dihargai,1,anger
141,gak percaya ketika tahu bahwa semua rencana untuk liburan tahun ini harus dibatalkan,6,surprise
142,pikiranku terus ke dia tidak sabar ingin ngobrol dan ketawa bareng lagi,0,anticipation
143,rasa takut bikin aku lebih milih bertahan di tempat yang aman,3,fear
144,aku bahagia karena hari ini bisa menyelesaikan semua tugas yang ada di daftar,4,joy
145,jijik lihat orang makan sambil batukbatuk tanpa tutup mulut,2,disgust
146,sering takut kalau gagal padahal kegagalan itu bagian dari proses,3,fear
147,marah banget sama situasi ini udah tidak bisa ditolerir lagi,1,anger
148,kepercayaan ini adalah kekuatan yang membuat kita mampu mengatasi semua hal,7,trust
149,kamu selalu ada di sisiku dan itu membuatku semakin percaya padamu,7,trust
150,rasa takut ini begitu kuat hingga membuatku merasa sangat tidak berdaya,3,fear
151,kesel banget karena usaha keras selama ini buat capai keinginan cuma berujung kegagalan,1,anger
152,aku takut kalau aku akan gagal dalam segala hal yang aku coba,3,fear
153,gak nyangka bisa melihat rencana untuk proyek seni kami akhirnya menjadi nyata,6,surprise
154,aku jijik dengan cara orang ini memperlakukan tempat kerjanya seperti tempat pembuangan sampah,2,disgust
155,tidak habis pikir kenapa lawan selalu curang dan main tidak sportif,1,anger
156,marah banget karena semua yang aku impikan selalu berakhir dengan kegagalan,1,anger
157,waktu kayaknya jalan lambat banget karena aku tidak tahan nunggu kabar ini,0,anticipation
158,ketika aku berani mengambil keputusan untuk mengatakan tidak pada sesuatu yang tidak aku inginkan,6,surprise
159,lihat orang cuci baju di sungai yang kotor,2,disgust
160,kesel banget udah nunggu lama tapi barang yang datang malah cacat,1,anger
161,ketika melihat perubahan mendadak pada cuaca membuat semua orang kaget,6,surprise
162,ingin lari dari semua tapi gak tau harus ke mana,5,sadness
163,bermain game vr bikin pengalaman gaming semakin nyata dan membahagiakan,4,joy
164,aku tidak pernah meragukanmu karena kepercayaan ini menguatkan kita,7,trust
165,aku tidak pernah merasa ragu karena kamu selalu membuktikan diri,7,trust
166,aku percaya kamu adalah orang yang tepat untuk bersamaku,7,trust
167,tidak habis pikir kenapa hidup ini tidak pernah kasih aku jalan yang mudah,1,anger
168,jijik lihat orang buang ingus di tempat umum,2,disgust
169,gugup tiap kali mikirin hari besar saat aku dan dia akan bersumpah setia,0,anticipation
170,hubungan ini meninggalkan luka yang dalam banget di hati,5,sadness
171,benerbener bikin emosi kenapa orang bisa sebegitu tidak pedulinya,1,anger
172,rasa takut ini membuatku merasa seperti tidak ada tempat yang aman di dunia ini,3,fear
173,semakin dekat dengan momen besar semakin tidak bisa berhenti mikirin,0,anticipation
174,takut kalau apa yang aku perjuangkan selama ini ternyata tidak berarti apaapa,3,fear
175,gak ada yang lebih menyakitkan selain gagal setelah berjuang begitu lama,5,sadness
176,nemu cicak di gelas minum,2,disgust
177,masih gak bisa move on dari kepergian ibu yang begitu tibatiba,5,sadness
178,rasa takut bikin aku sering ngerasa stuck dan tidak bisa maju kemanamana,3,fear
179,kaget banget ketika aku berani mengambil langkah untuk memulai usaha sendiri,6,surprise
180,setiap tindakanmu menunjukkan betapa tulusnya hatimu,7,trust
181,rasanya sangat bahagia ketika bisa menikmati waktu di pantai dengan angin yang sejuk,4,joy
182,marah banget karena barang yang aku pesan tidak lengkap isinya,1,anger
183,serius  kenapa kamar ini penuh dengan debu dan tidak pernah dibersihin,2,disgust
184,tidak sabar ketemu sama orang spesial minggu depan,0,anticipation
185,gugup nunggu hasil tes yang keluar minggu depan,0,anticipation
186,terkadang ngerasa gak ada tempat buat orang yang jujur di dunia yang penuh ketidakadilan ini,5,sadness
187,bahagia itu ketika bisa mendapatkan kabar baik setelah menunggu sekian lama,4,joy
188,aku percaya kita bisa menjadi lebih baik bersama,7,trust
189,kadang aku bertanya kapan semua rasa sedih ini akan berakhir,5,sadness
190,gak percaya bahwa isuisu penting diabaikan demi kepentingan politik,6,surprise
191,aku merasa bahagia ketika bisa berbuat baik kepada orang lain tanpa mengharapkan imbalan,4,joy
192,aku tidak tahan sama kondisi kantor yang tidak pernah dibersihkan penuh debu di manamana,2,disgust
193,sulit menjalani harihari tanpa dia di sini,5,sadness
194,marah banget kenapa kesalahan kecil bisa menghancurkan segalanya,1,anger
195,kesel banget karena twist di akhir malah ngerusak semua yang udah dibangun sebelumnya,1,anger
196,rasa terkejut ini muncul ketika melihat orang yang tidak aku duga muncul di acara,6,surprise
197,gak ada yang lebih menyedihkan daripada hidup di dunia yang penuh kebohongan dan kekejaman,5,sadness
198,kepercayaan ini menguatkan komitmen kita untuk selalu bersama,7,trust
199,rasanya tidak sabar buat ngobrol dan ketawa bareng dia lagi,0,anticipation
200,makan hidangan pedas favorit bikin aku merasa bahagia dan puas,4,joy
201,rasanya makin hari makin berat gak ada ruang buat bernapas karena masalah ekonomi,5,sadness
202,gak ada yang lebih menyakitkan daripada menjadi korban ketidakadilan,5,sadness
203,serius kenapa ada orang yang tidak peduli sama kebersihan kamarnya,2,disgust
204,aku takut bahwa semua yang aku impikan tidak akan pernah menjadi kenyataan,3,fear
205,jijik lihat lantai kamar mandi umum yang penuh lumut,2,disgust
206,gugup nunggu evaluasi performa triwulan semoga hasilnya memuaskan,0,anticipation
207,rasanya gugup banget nunggu apakah perubahan ini akan sukses atau tidak,0,anticipation
208,rasa percaya ini adalah dasar dari semua yang kita bangun bersama,7,trust
209,kaget banget ketika tahu ada yang menolak bekerja sama hanya karena perbedaan ras,6,surprise
210,kadang ngerasa hubungan ini terlalu sulit untuk dipahami,5,sadness
211,rasanya ingin cepat mewujudkan keinginan yang sudah lama aku impikan,0,anticipation
212,rasanya ingin cepat merasakan ketenangan jiwa di hari suci ini,0,anticipation
213,tidak tahan lagi sama frustrasi yang terus muncul setiap kali ngejalanin hobiku,1,anger
214,rasa takut ini seperti menghantui setiap keputusan yang aku buat,3,fear
215,rasanya seperti mimpi buruk yang gak pernah berakhir,5,sadness
216,aku percaya kita bisa mengatasi semua masalah dengan komunikasi yang baik,7,trust
217,kesel banget karena orang lain bisa capai keinginan mereka tapi aku selalu gagal,1,anger
218,tidak habis pikir kenapa konflik utama di buku ini diselesaikan dengan cara yang tidak memuaskan,1,anger
219,kebahagiaan itu saat melihat hasil dari kerja keras yang selama ini diupayakan,4,joy
220,ketika bertemu dengan seseorang yang menginspirasi aku merasakan kasih tuhan melalui mereka,6,surprise
221,semakin dekat sama hari besar rasanya makin gugup dan senang,0,anticipation
222,perasaan percaya ini membuat semua tantangan jadi terasa lebih ringan,7,trust
223,aku merasa bahagia saat bisa melihat pelangi setelah hujan deras,4,joy
224,marah banget karena selalu disalahkan untuk kesalahan yang bukan aku buat,1,anger
225,kesel banget karena kualitas barang ini tidak sesuai harga yang aku bayarkan,1,anger
226,tidak sabar buat pelukan pertama setelah lama tidak ketemu,0,anticipation
227,kejutan indah ketika melihat mukjizat tuhan terjadi dalam hidupku,6,surprise
228,tibatiba merasakan kedamaian yang luar biasa saat berdoa dan itu bikin aku terkejut,6,surprise
229,kenapa ya ada orang yang tidak pernah ganti sprei kasur bikin jijik,2,disgust
230,rasanya waktu berjalan lambat banget karena aku terus nunggu dia,0,anticipation
231,aku tidak paham kenapa orang bisa cuek dengan kondisi kamar mereka yang super kotor,2,disgust
232,aku yakin kita bisa menghadapi semua ini bersama,7,trust
233,tibatiba merasa prihatin ketika tahu bahwa pejabat pemerintah terlibat skandal,6,surprise
234,aku bahagia karena bisa menyelesaikan semua tantangan dengan baik hari ini,4,joy
235,ketidakadilan ini bikin aku mulai meragukan arti keadilan itu sendiri,5,sadness
236,ketika semua rencana kerja keras akhirnya membuahkan hasil yang membanggakan,6,surprise
237,rasanya bahagia banget bisa menikmati hari tanpa beban dan kekhawatiran,4,joy
238,kepercayaan ini adalah kekuatan yang menggerakkan kita menuju tujuan yang lebih besar,7,trust
239,gugup nunggu evaluasi performa bulan ini semoga hasilnya bagus,0,anticipation
240,setiap kali ngelihat jam rasanya makin tidak sabar nunggu besok,0,anticipation
241,rasanya gugup banget buat ketemu dia setelah sekian lama,0,anticipation
242,aku merasa sangat takut setiap kali harus menghadapi kenyataan yang sulit,3,fear
243,tidak bisa tenang sama sekali menunggu jawaban penting yang mungkin keluar kapan saja,0,anticipation
244,tidak bisa sabar lagi nunggu hasil evaluasi yang akan keluar minggu ini,0,anticipation
245,tidak tahan lagi dengan kenyataan bahwa keinginan ini kayaknya tidak mungkin tercapai,1,anger
246,tidak habis pikir kenapa barang ini punya banyak cacat produksi tapi tetap dijual,1,anger
247,setiap pengalaman bersamamu membangun kepercayaan ini semakin dalam,7,trust
248,rasanya bahagia bisa menikmati camilan sore sambil ngobrol santai dengan temanteman,4,joy
249,tidak tahu lagi harus bagaimana hari ini cuma bikin kesel terus,1,anger
250,kebahagiaan adalah ketika bisa tertawa lepas tanpa memikirkan masalah yang ada,4,joy
251,tidak ada ragu sedikit pun aku sepenuhnya percaya padamu,7,trust
252,mengerjakan tugas sambil menikmati suasana tenang bikin aku merasa bahagia,4,joy
253,rasanya hancur ketika semua pengorbanan gak membuahkan hasil,5,sadness
254,setiap kali mendengarkan cerita orang lain tentang kasih tuhan aku merasa terinspirasi,6,surprise
255,semua orang bilang sabar tapi rasanya berat banget hidup dengan kondisi keuangan seperti ini,5,sadness
256,rasa sakit ini muncul ketika perlakuan orang lain membuatku merasa sendirian,6,surprise
257,kebiasaan orang membuang puntung rokok sembarangan sangat tidak sopan,2,disgust
258,aku merasa sangat bahagia ketika proyek yang aku tangani berjalan dengan lancar,4,joy
259,gugup banget nunggu langkah terakhir menuju keinginanku,0,anticipation
260,gugup nunggu momen indah saat semuanya terasa lebih bermakna di hari suci,0,anticipation
261,rasa takut ini membuatku merasa sangat kecil dan tidak berarti,3,fear
262,setiap hari melihat kejahatan yang gak ada habisnya di dunia ini bikin hati ini sakit,5,sadness
263,aku tidak pernah merasa ragu karena kepercayaan ini sudah terjalin kuat,7,trust
264,kepercayaanmu membuatku merasa diberdayakan dan lebih yakin pada diriku sendiri,7,trust
265,rasanya bahagia bisa menyelesaikan proyek besar di kantor dengan hasil yang memuaskan,4,joy
266,kadang takut kalau ternyata apa yang aku inginkan tidak sesuai sama kenyataan,3,fear
267,gak nyangka bahwa kebijakan pemerintah justru membuat rakyat semakin sulit,6,surprise
268,takut banget kalau suatu hari nanti aku tidak bisa mencapai apa yang aku inginkan,3,fear
269,jijik lihat orang tidak cuci kaki sebelum tidur,2,disgust
270,mengapa tidak ada yang peduli dengan kebersihan di tempat umum ini,2,disgust
271,aku yakin kita bisa mewujudkan semua mimpi kita bersama,7,trust
272,aku tidak ngerti kenapa orang suka buang sampah sembarangan di sungai,2,disgust
273,jijik lihat makanan yang sudah basi masih disimpan di kulkas,2,disgust
274,perlakuan yang tidak terduga dari orang terdekat bikin aku merasa sakit hati,6,surprise
275,tidak sabar lihat bagaimana dia akan merespons rencana kita buat liburan,0,anticipation
276,kadang ngerasa aku gak layak buat dapat kasih sayang dari siapa pun,5,sadness
277,tidak sabar buat lihat hasil akhir dari semua kerja keras untuk keinginan ini,0,anticipation
278,rasanya bahagia ketika melihat pemandangan indah yang tidak setiap hari bisa disaksikan,4,joy
279,lihat orang pakai sikat gigi orang lain,2,disgust
280,tidak sabar mau coba hal baru besok pagi rasanya pasti seru,0,anticipation
281,tidak bisa berhenti mikirin apakah keinginan ini akan tercapai,0,anticipation
282,jijik banget lihat tempat makan yang dapurnya tidak bersih,2,disgust
283,setiap langkah yang kita ambil adalah bentuk komitmen kita,7,trust
284,gugup campur senang nunggu hasil dari kerja keras selama ini,0,anticipation
285,dunia yang kejam ini bikin aku ragu untuk percaya pada masa depan yang lebih baik,5,sadness
286,marah banget karena tokoh favoritku tibatiba hilang tanpa penjelasan,1,anger
287,ngitung hari buat mulai latihan bela diri lagi setelah sekian lama,0,anticipation
288,ingin banget hubungan ini bisa diperbaiki tapi sepertinya udah terlalu terlambat,5,sadness
289,ketika rencana untuk belajar bahasa asing berjalan lebih cepat dari yang direncanakan,6,surprise
290,kesel banget karena tokoh antagonis di buku ini tidak dapat hukuman yang setimpal,1,anger
291,lihat orang jemur pakaian dalam di tempat umum,2,disgust
292,aku takut bahwa aku tidak akan pernah bisa mencapai apa yang aku impikan,3,fear
293,aku merasa takut setiap kali harus menghadapi kenyataan yang tidak sesuai dengan harapan,3,fear
294,setiap keputusan yang kamu buat adalah tanda dari rasa percayaku padamu,7,trust
295,kepercayaan ini memberi arti baru pada setiap interaksi kita,7,trust
296,benerbener kesel banget kok bisa hal seperti gini terjadi lagi,1,anger
297,rasa terkejut ini muncul ketika aku memilih untuk menantang diri sendiri dengan hal baru,6,surprise
298,aku merasa sangat bahagia karena bisa fokus mengerjakan tugas hari ini,4,joy
299,mungkin aku terlalu berharap tapi kenyataannya gak sesuai,5,sadness
300,lihat orang makan sambil bersuara,2,disgust
301,tidak sabar buat mulai menjalani hidup yang baru dengan perubahan ini,0,anticipation
302,udah capek sabar ini benarbenar bikin marah besar,1,anger
303,takut kecewa lagi makanya jadi susah buat percaya sama orang lain,3,fear
304,lihat orang batuk berdahak di depan umum,2,disgust
305,gak percaya ketika aku mengambil keputusan untuk minta maaf setelah berbulanbulan,6,surprise
306,hari ini terasa berat banget seperti gak ada yang bisa bikin senang,5,sadness
307,lihat video orang makan cacing hidup hidup,2,disgust
308,kesel banget sama orang yang tidak bisa bertanggung jawab sama perbuatannya,1,anger
309,aku merasa sangat takut untuk menghadapi hari esok,3,fear
310,gak ada yang lebih menyakitkan daripada melihat orang yang kita sayang jadi korban ketidakadilan,5,sadness
311,rasanya ingin cepat tahu bagaimana hasil kerja keras selama berbulanbulan,0,anticipation
312,tidak tahan lihat orang meludah di jalan tidak sopan banget,2,disgust
313,tidak tahan lagi menghadapi kenyataan bahwa keinginanku selalu berakhir dengan kegagalan,1,anger
314,aku yakin hubungan kita akan terus tumbuh karena kepercayaan ini,7,trust
315,marah banget karena ukuran barangnya salah padahal aku udah pilih yang benar,1,anger
316,semakin dekat hari ketemuan semakin gugup ingin lihat reaksinya,0,anticipation
317,serius bau got di jalan ini bikin aku ingin muntah tiap kali lewat,2,disgust
318,rasa takut ini membuatku merasa seperti semua yang aku lakukan salah,3,fear
319,bahagia itu saat bisa menghabiskan waktu berbicara dengan orang yang kamu sayangi,4,joy
320,ingin cepat tahu bagaimana hasil dari semua kerja keras selama ini,0,anticipation
321,tidak tahu kenapa tapi selalu ada rasa takut yang mengganjal di hati,3,fear
322,bahagia itu adalah ketika bisa belajar sesuatu yang baru setiap hari,4,joy
323,melihat orang yang tertindas bikin aku sadar kalau keadilan di dunia ini langka,5,sadness
324,kadang lebih takut sama bayangan kegagalan di kepala daripada kenyataan sebenarnya,3,fear
325,aku jijik banget lihat tempat tidur yang tidak pernah dirapikan penuh dengan debu,2,disgust
326,tidak tahan lagi nunggu hari di mana janji suci ini akan terwujud,0,anticipation
327,takut kalau nanti aku udah kasih yang terbaik tapi hasilnya tetap tidak sesuai,3,fear
328,kesel maksimal karena buku ini terlalu banyak karakter yang tidak penting,1,anger
329,kenapa ada orang yang tidak pernah cuci piring dapurnya penuh dengan tumpukan piring kotor,2,disgust
330,rasa terkejut ini muncul ketika aku melihat jawaban doaku datang dengan cara yang unik,6,surprise
331,rasanya capek gagal terus padahal udah usaha maksimal,5,sadness
332,marah banget sama dunia ini yang selalu penuh dengan ketidakadilan,1,anger
333,udah kebayang sih akan seperti bagaimana acaranya nanti pasti seru,0,anticipation
334,gak ada yang lebih menyakitkan daripada dipecundangi oleh orang yang kamu percayai sepenuh hati,5,sadness
335,satu perlakuan buruk bisa merusak hari yang seharusnya bahagia,6,surprise
336,rasa takut ini membuatku merasa seperti tidak ada masa depan yang cerah,3,fear
337,nemu kecoa di dispenser air minum,2,disgust
338,jijik banget lihat orang meludah sembarangan di jalan raya,2,disgust
339,aku merasa bahagia ketika melihat orang lain tersenyum karena kebaikanku,4,joy
340,aku yakin kita akan selalu menemukan solusi untuk setiap masalah,7,trust
341,rasanya gugup banget memikirkan momen indah saat janji suci itu tiba,0,anticipation
342,aku tidak paham kenapa ada orang yang bisa makan di tempat yang penuh dengan kecoa,2,disgust
343,aku jijik banget lihat sepatu bekas lumpur di taruh sembarangan di ruang tamu,2,disgust
344,rasa takut ini membuatku sulit untuk tidur setiap malam,3,fear
345,tidak habis pikir kenapa barang ini dikirim dalam kondisi tidak layak,1,anger
346,gak ada yang lebih mengejutkan daripada menyadari bahwa aku telah belajar banyak,6,surprise
